id;long;lat;MOVEMENT_ID
0;-74.08921298299998;4.582989396000016;275
1;-74.08952746199999;4.582560966000016;275
2;-74.09389220199999;4.576679366000008;684
3;-74.09408026199999;4.576433936999991;684
4;-74.094513993;4.57581709599998;684
5;-74.09514369300001;4.575135276000027;212
6;-74.09568730199999;4.574558605999981;689
7;-74.09826646300002;4.571758036999995;689
8;-74.09839931200003;4.571597536000011;689
9;-74.098749382;4.5712024260000135;689
10;-74.10049693100001;4.569210281999973;689
11;-74.100760041;4.568898513000022;689
12;-74.17354292099998;4.627646920000019;726
13;-74.17367801500002;4.627994278000017;726
14;-74.17380555400001;4.6282588739999815;726
15;-74.17402065700003;4.628776645000016;726
16;-74.08953029999998;4.616698289999988;606
17;-74.08936058100001;4.617067750999979;606
18;-74.08146493800001;4.5946188600000255;680
19;-74.08227224400001;4.593330088000017;680
20;-74.08364404699999;4.591229149000013;680
21;-74.08424976700002;4.590285258999984;680
22;-74.084549117;4.5898380090000055;680
23;-74.084908407;4.589265738999984;680
24;-74.087043107;4.586057509;650
25;-74.08761070700001;4.585233178999999;1096
26;-74.08803076700002;4.584684879000009;1096
27;-74.09674186000002;4.566212369000027;997
28;-74.09720679499998;4.565783887999999;997
29;-74.09636389299999;4.5738232960000005;689
30;-74.096518092;4.573664545999975;689
31;-74.09601664299998;4.574204975999977;689
32;-74.093765072;4.576851595999983;684
33;-74.09175497299998;4.5795689170000164;684
34;-74.091953662;4.579296236000005;684
35;-74.091589053;4.5797966960000185;684
36;-74.04512937999998;4.7587535600000015;576
37;-74.04499335000003;4.759385150000013;576
38;-74.08141069200002;4.594605747000004;680
39;-74.08168438199999;4.594175456000016;680
40;-74.083630723;4.591206306999993;680
41;-74.08423644200002;4.590262415999973;680
42;-74.084535792;4.589815165999994;680
43;-74.08625760299998;4.587198005999994;1097
44;-74.08648319299998;4.5868544670000215;1096
45;-74.08801744200002;4.584663464000016;1096
46;-74.08817788200001;4.584432063999998;1096
47;-74.08844866300001;4.584040107000021;275
48;-74.08860042200001;4.583821236000007;275
49;-74.08981209199999;4.582164395999997;275
50;-74.08985900300002;4.582107335999979;275
51;-74.17486713099998;4.630292783000017;726
52;-74.17453937900001;4.6295598209999875;726
53;-74.04480942499998;4.76033228099999;576
54;-74.044638982;4.7609402609999725;576
55;-74.17417389399999;4.628750803999992;726
56;-74.07228646099999;4.613495805000014;187
57;-74.07228430999999;4.613498149999998;187
58;-74.07226644999997;4.613550610000004;187
59;-74.07227046000003;4.6136094799999805;187
60;-74.07230028999999;4.613670870000021;187
61;-74.07235878;4.613736070000017;187
62;-74.07241235999999;4.613786740000023;187
63;-74.07189311000002;4.613983710000014;187
64;-74.07200626000002;4.614202400000012;187
65;-74.11866786000002;4.590127460000018;548
66;-74.11855035999997;4.590677270000015;1112
67;-74.11852204000002;4.59082828999999;1112
68;-74.10392711999998;4.567557150000027;854
69;-74.1039887;4.567488570000023;854
70;-74.10403272999997;4.567913040000008;854
71;-74.10415028;4.567794479999974;854
72;-74.11323655000002;4.563306759999988;227
73;-74.11344601000002;4.563536919999988;460
74;-74.06673884000003;4.682581359999971;437
75;-74.06752433999998;4.682686349999983;437
76;-74.10595063;4.547442980000029;515
77;-74.10608731999997;4.547246110000004;515
78;-74.10610100999997;4.547224040000003;515
79;-74.10619973000001;4.514893410000013;970
80;-74.10600283000002;4.5149955699999955;970
81;-74.10562153000002;4.515069340000026;970
82;-74.11603069;4.7395702300000275;1074
83;-74.11624741000003;4.7397366600000055;1074
84;-74.11627500999998;4.739735759999974;1074
85;-74.11442653;4.747587850000002;508
86;-74.11444225000002;4.7476270299999905;508
87;-74.11439123000002;4.748001429999988;508
88;-74.11437315;4.748031790000027;508
89;-74.05487853;4.7585672999999815;573
90;-74.05507336;4.758640630000003;573
91;-74.10332846;4.641271140000015;490
92;-74.10394882999998;4.6419166700000005;490
93;-74.09199025999997;4.646067990000006;55
94;-74.09158572000003;4.6463304700000085;55
95;-74.09153952000003;4.6463618299999885;55
96;-74.14111904999999;4.5476240500000245;696
97;-74.14125554999998;4.547299179999982;697
98;-74.14125068999998;4.547116060000007;696
99;-74.17229910999998;4.57777557999998;256
100;-74.17229766999998;4.5777307800000235;256
